#num,year,month,date,time[second],SeaIceExtent[km2]
532,1981,11,07,95212800,16825733
533,1981,11,09,95385600,16723970
534,1981,11,11,95558400,16641451
535,1981,11,13,95731200,16494597
536,1981,11,15,95904000,16327524
537,1981,11,17,96076800,16176292
538,1981,11,19,96249600,16027810
539,1981,11,21,96422400,15835688
540,1981,11,23,96595200,15595147
541,1981,11,25,96768000,15281690
542,1981,11,27,96940800,15045668
543,1981,11,29,97113600,14834884
544,1981,12,01,97286400,14499144
545,1981,12,03,97459200,14163804
546,1981,12,05,97632000,13773731
547,1981,12,07,97804800,13320675
548,1981,12,09,97977600,12926471
549,1981,12,11,98150400,12569405
550,1981,12,13,98323200,12163963
551,1981,12,15,98496000,11703850
552,1981,12,17,98668800,10915253
553,1981,12,19,98841600,10200794
554,1981,12,21,99014400,9580664
555,1981,12,23,99187200,8965089
556,1981,12,25,99360000,8410452
557,1981,12,27,99532800,8067807
558,1981,12,29,99705600,7780462
559,1981,12,31,99878400,7411424
560,1982,01,02,100051200,7038279
561,1982,01,04,100224000,6779720
562,1982,01,06,100396800,6487564
563,1982,01,08,100569600,6150126
564,1982,01,10,100742400,5888147
565,1982,01,12,100915200,5647665
566,1982,01,14,101088000,5465598
567,1982,01,16,101260800,5317363
568,1982,01,18,101433600,5111166
569,1982,01,20,101606400,4868148
570,1982,01,22,101779200,4584083
571,1982,01,24,101952000,4316161
572,1982,01,26,102124800,4162031
573,1982,01,28,102297600,4026430
574,1982,01,30,102470400,3836397
575,1982,02,01,102643200,3704555
576,1982,02,03,102816000,3604397
577,1982,02,05,102988800,3513291
578,1982,02,07,103161600,3381881
579,1982,02,09,103334400,3308389
580,1982,02,11,103507200,3179313
581,1982,02,13,103680000,3099808
582,1982,02,15,103852800,3038711
583,1982,02,17,104025600,3040905
584,1982,02,19,104198400,3027256
585,1982,02,21,104371200,3023104
586,1982,02,23,104544000,3010440
587,1982,02,25,104716800,3089321
588,1982,02,27,104889600,3151099
589,1982,03,01,105062400,3223556
590,1982,03,03,105235200,3311537
591,1982,03,05,105408000,3434466
592,1982,03,07,105580800,3556776
593,1982,03,09,105753600,3631843
594,1982,03,11,105926400,3855532
595,1982,03,13,106099200,4082563
596,1982,03,15,106272000,4285918
597,1982,03,17,106444800,4443381
598,1982,03,19,106617600,4619959
599,1982,03,21,106790400,4803128
